Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1986","1986","%","36.21","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1987","1987","1000 ha","4736930.2387","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1987","1987","%","36.33","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1988","1988","1000 ha","4754568.2764","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1988","1988","%","36.46","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1989","1989","1000 ha","4765975.5283","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1989","1989","%","36.55","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1990","1990","1000 ha","4777459.3814","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1990","1990","%","36.64","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1991","1991","1000 ha","4781216.7882","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1991","1991","%","36.67","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1992","1992","1000 ha","4820657.7648","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1992","1992","%","37.09","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1993","1993","1000 ha","4803934.4177","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1993","1993","%","36.97","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1994","1994","1000 ha","4826165.5827","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1994","1994","%","37.14","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1995","1995","1000 ha","4824899.289","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1995","1995","%","37.13","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1996","1996","1000 ha","4832748.7513","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1996","1996","%","37.19","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1997","1997","1000 ha","4852970.3306","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1997","1997","%","37.33","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1998","1998","1000 ha","4866379.5982","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1998","1998","%","37.44","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1999","1999","1000 ha","4868725.1752","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1999","1999","%","37.45","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2000","2000","1000 ha","4873695.3979","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2000","2000","%","37.48","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2001","2001","1000 ha","4875685.3402","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2001","2001","%","37.49","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2002","2002","1000 ha","4867709.6828","B","Time series break",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2002","2002","%","37.43","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2003","2003","1000 ha","4849433.7319","B","Time series break",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2003","2003","%","37.29","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2004","2004","1000 ha","4808022.8217","B","Time series break",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2004","2004","%","36.93","E","Estimated value",""
