Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,1,World,5419,Yield,01372,"Cashew nuts, in shell",2001,2001,100 g/ha,5617.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01445,Sunflower seed,2008,2008,ha,25331329.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01194,Quinoa,1986,1986,t,30739.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01371,"Almonds, in shell",1998,1998,t,1310894.08,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,2166,Coconut oil,2002,2002,t,3198873.18,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01630,Maté leaves,1981,1981,100 g/ha,26299.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01499.04,Tallowtree seeds,1987,1987,ha,300000.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01313,Plantains and cooking bananas,1986,1986,t,21390192.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01235,"Pumpkins, squash and gourds",1969,1969,100 g/ha,73157.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01355.02,Cranberries,2006,2006,100 g/ha,182492.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01491.01,Oil palm fruit,2000,2000,t,120870856.6,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01229,Cantaloupes and other melons,1985,1985,100 g/ha,155252.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01499.03,Jojoba seeds,2005,2005,t,93.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2011,2011,100 g/ha,8786.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01316,"Mangoes, guavas and mangosteens",2018,2018,100 g/ha,98511.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01709.01,Vetches,1996,1996,100 g/ha,10410.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01445,Sunflower seed,2022,2022,t,54285948.66,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,0141,Soya beans,2018,2018,t,344809297.35,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01343,Apricots,1975,1975,t,1546572.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01379.90,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",1973,1973,100 g/ha,49342.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01242,"Peas, green",1963,1963,100 g/ha,57447.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01195,Canary seed,2015,2015,t,229737.2,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01221,Watermelons,1964,1964,ha,1949609.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01352,Kiwi fruit,1962,1962,t,0.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01314,Dates,1979,1979,100 g/ha,73283.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01448,Poppy seed,2021,2021,ha,43156.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01929.05,"Sisal, raw",1989,1989,ha,500141.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01709.01,Vetches,1994,1994,ha,944362.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,0113,Rice,2005,2005,t,634565755.72,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01215,Spinach,2022,2022,ha,937829.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01221,Watermelons,1973,1973,ha,1953613.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01449.01,Melonseed,1971,1971,ha,556195.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01499.05,Kapok fruit,1977,1977,ha,236520.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01191,Triticale,1990,1990,t,4453148.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01253.02,"Onions and shallots, dry (excluding dehydrated)",2007,2007,100 g/ha,168571.0,A,Official figure,
